Date,Source,Title,Author,Link,Subtitle
2018-02-28,Project Syndicate,China’s Big-Data Big Brother,Mark Leonard ,https://www.project-syndicate.org/commentary/xi-jinping-surveillance-state-by-mark-leonard-2018-02,"Mark Leonard notes that Xi Jinping is not just consolidating power, but also building a world-class surveillance state.        "
2017-11-03,Project Syndicate,What Does Xi Jinping Want?,Keyu Jin ,https://www.project-syndicate.org/commentary/china-party-congress-xi-legacy-by-keyu-jin-2017-11,Keyu Jin argues that China's president wants to create a legacy comprising three key components.        
2016-08-04,Project Syndicate,Xi Jinping is No Mao Zedong,Keyu Jin ,https://www.project-syndicate.org/commentary/xi-jinping-is-no-mao-zedong-by-keyu-jin-2016-08,Keyu Jin argues that sometimes an anti-corruption campaign is just an anti-corruption campaign.        
2015-09-15,Project Syndicate,Curbing Chinese Corruption,Paolo Mauro ,https://www.project-syndicate.org/commentary/xi-jinping-chinese-corruption-by-paolo-mauro-2015-09,Paolo Mauro explains why graft and bribery have not impeded economic growth – until now.        
2015-07-01,Project Syndicate,Tibet After the Dalai Lama,Brahma Chellaney ,https://www.project-syndicate.org/commentary/tibet-after-the-dalai-lama-by-brahma-chellaney-2015-07,Brahma Chellaney fears that the power vacuum created when the current incarnation dies could give rise to violence.        
2011-08-08,Project Syndicate,China’s Ethnic Tremors,Brahma Chellaney ,https://www.project-syndicate.org/commentary/china-s-ethnic-tremors-2011-08,Brahma Chellaney 
2010-07-03,Project Syndicate,Expanding Crime and Punishment in Tibet,Robert Barnett ,https://www.project-syndicate.org/commentary/expanding-crime-and-punishment-in-tibet,Robert Barnett 
2009-04-22,Project Syndicate,A Way out of Tibet’s Morass,Robert Barnett ,https://www.project-syndicate.org/commentary/a-way-out-of-tibet-s-morass,Robert Barnett 
2009-04-15,Project Syndicate,The Rise of the Beijing Consensus,Jonathan Holslag ,https://www.project-syndicate.org/commentary/the-rise-of-the-beijing-consensus,Jonathan Holslag 
2009-02-17,Project Syndicate,Hillary Clinton in Beijing,Orville Schell ,https://www.project-syndicate.org/commentary/hillary-clinton-in-beijing,Orville Schell 
2008-08-18,Project Syndicate,America’s Sputnik Moment in Beijing,Jamie Metzl ,https://www.project-syndicate.org/commentary/america-s-sputnik-moment-in-beijing-2008-08,Jamie Metzl 
2008-08-05,Project Syndicate,Breathe Easy About Beijing,Achim Steiner ,https://www.project-syndicate.org/commentary/breathe-easy-about-beijing,Achim Steiner 
2008-08-01,Project Syndicate,Beijing Strikes Gold,Edward Friedman ,https://www.project-syndicate.org/commentary/beijing-strikes-gold,Edward Friedman 
2008-05-23,Project Syndicate,"Big Brother, Tibet, and the Sichuan Earthquake",Andreas Ni ,https://www.project-syndicate.org/commentary/big-brother--tibet--and-the-sichuan-earthquake,Andreas Ni 
2008-05-21,Project Syndicate,Is China’s Tibet Policy Bad for Business?,Adam Strangfeld ,https://www.project-syndicate.org/commentary/is-china-s-tibet-policy-bad-for-business,Adam Strangfeld 
2008-03-25,Project Syndicate,Showdown in Tibet,Warren W. Smith ,https://www.project-syndicate.org/commentary/showdown-in-tibet,Warren W. Smith 
2008-03-20,Project Syndicate,From Kosovo to Tibet,Wen Liao ,https://www.project-syndicate.org/commentary/from-kosovo-to-tibet,Wen Liao 
2008-03-20,Project Syndicate,Tibet’s Peace of the Grave,Václav Havel et al. ,https://www.project-syndicate.org/commentary/tibet-s-peace-of-the-grave,Václav Havel et al. 
2007-10-01,Project Syndicate,The Burma Road Goes Through Beijing,Jamie Metzl ,https://www.project-syndicate.org/commentary/the-burma-road-goes-through-beijing,Jamie Metzl 
2004-03-15,Project Syndicate,"Taiwan and China, At It Again",Orville Schell ,https://www.project-syndicate.org/commentary/taiwan-and-china--at-it-again,Orville Schell 
2001-10-11,Project Syndicate,Beijing Benefits from Taiwan’s Troubles,Tom Gold ,https://www.project-syndicate.org/commentary/beijing-benefits-from-taiwan-s-troubles,Tom Gold 
1997-06-06,Project Syndicate,New Moscow-Beijing Ties Worry Asia,Masashi Nishihara ,https://www.project-syndicate.org/commentary/new-moscow-beijing-ties-worry-asia,Masashi Nishihara 
2021-11-24,New York Times,Hong Kong’s Universities Have Fallen. There May Be No Turning Back.,,https://www.nytimes.com/2021/11/24/opinion/hong-kong-university-china.html,
2021-11-18,New York Times,Biden Thinks He Can Have It Both Ways on China. He’s Wrong.,,https://www.nytimes.com/2021/11/18/opinion/biden-china-xi-summit.html,
2021-11-21,Wall Street Journal,The Coddling of American Children Is a Boon to Beijing,,https://www.wsj.com/articles/the-coddling-of-american-children-is-a-boon-to-beijing-china-education-college-victim-11637525811,
2021-11-20,Wall Street Journal,Joe Biden Should Come Out and Say It: America Will Help Defend Taiwan,,https://www.wsj.com/articles/joe-biden-should-come-out-and-say-it-america-will-help-defend-taiwan-china-military-xi-11637357925,
2021-11-17,Wall Street Journal,"Biden Has a Summit With Xi, but No Strategy for China",,https://www.wsj.com/articles/biden-summit-xi-but-no-strategy-for-china-taiwan-taipei-invasion-climate-kerry-cop26-11637165706,
2021-11-22,Australian Financial Review,Embrace Japan as most favoured partner to meet the China challenge,Shiro Armstrong,https://www.afr.com/world/asia/embrace-japan-as-most-favoured-partner-to-meet-the-china-challenge-20211120-p59alg,"In a decarbonising world, the fossil fuel-based energy trade will no longer be enough to sustain the security relationship between Tokyo and Canberra."
2021-11-21,Australian Financial Review,Morrison turns China ‘threat’ into an election wedge,James Curran,https://www.afr.com/policy/foreign-affairs/morrison-turns-china-threat-into-an-election-wedge-20211120-p59alf,"Borrowing from the Coalition playbook of Menzies and Holt during the Vietnam War, the Prime Minister is putting domestic politics ahead of long-term policy for dealing with Beijing."
2021-11-19,Australian Financial Review,Don’t underestimate Xi’s ambitions,Henry Olsen,https://www.afr.com/policy/foreign-affairs/don-t-underestimate-xi-s-ambitions-20211119-p59abe,China’s foreign policy was for decades patient and unthreatening. But Xi Jinping is already a very different kind of Chinese leader.
2021-11-24,Sydney Morning Herald,"China relations: Call it what you like, but don’t call it a new Cold War",,https://www.smh.com.au/national/china-relations-call-it-what-you-like-but-don-t-call-it-a-new-cold-war-20211118-p59a0a.html,
2021-11-23,Sydney Morning Herald,Kidnapping of Peng Shuai makes stand on Winter Olympics almost irresistible,,https://www.smh.com.au/world/asia/kidnapping-of-peng-shuai-makes-stand-on-winter-olympics-almost-irresistible-20211122-p59axe.html,
2021-11-19,Sydney Morning Herald,#WhereIsPengShuai: Time for tennis stars to rally around one of their own,,https://www.smh.com.au/sport/whereispengshuai-time-for-tennis-stars-to-rally-around-one-of-their-own-20211119-p59ad4.html,
2021-11-17,Sydney Morning Herald,Biden and Xi’s smiles can’t hide the fundamental problem,,https://www.smh.com.au/national/biden-and-xi-s-smiles-can-t-hide-the-fundamental-problem-20211117-p599n8.html,
2021-11-17,Sydney Morning Herald,The one word that will stop war over Taiwan,,https://www.smh.com.au/politics/federal/the-one-word-that-will-stop-war-over-taiwan-20211116-p599fr.html,
2021-11-17,Sydney Morning Herald,Why a border stand-off in the Himalayas is so important to Australia,,https://www.smh.com.au/world/asia/why-a-border-stand-off-in-the-himalayas-is-so-important-to-australia-20211116-p599fj.html,
2021-11-19,War on the Rocks,War by Timeframe: Responding to China’s Pacing Challenge,Michael C. Horowitz,https://warontherocks.com/2021/11/war-by-timeframe-responding-to-chinas-pacing-challenge/,
2021-11-23,Lawfare,Water Wars: Japan Makes Major Defense Spending Pledges While China Increases Incursions in the South China Sea,"Alex Vivona, Sam Cohen",https://www.lawfareblog.com/water-wars-japan-makes-major-defense-spending-pledges-while-china-increases-incursions-south-china,"Chinese incursions into Taiwan’s air defense identification zone continue to escalate; Japan makes unprecedented defense pledges, to China’s chagrin; U.S. submarine collision gives China an opportunity to push back on U.S. operations in South China Sea; and Malaysia, Indonesia and the Philippines see Chinese incursions in South China Sea."
2021-11-19,Lawfare,NSL Verdict a Major Blow to Free Speech in Hong Kong,"Eric  Yan-ho Lai, Thomas E. Kellogg",https://www.lawfareblog.com/nsl-verdict-major-blow-free-speech-hong-kong,The recent conviction of pro-democracy protester Ma Chun-man for inciting secession under Hong Kong’s draconian new National Security Law marks a major step backward for free expression in Hong Kong.
2021-11-24,The Interpreter,"Paul Keating may be the “Grand Appeaser”, but is he wrong?",Simon Cotton,https://www.lowyinstitute.org/the-interpreter/paul-keating-may-be-grand-appeaser-he-wrong,"Former prime minister Paul Keating’s characteristically frank comments on Australia’s Taiwan policy have attracted many criticisms. One of the most predictable is that he is advocating what is generally thought the epitome of bad strategy: appeasement. To be fair to Keating, he was primarily"
2021-11-24,The Interpreter,"India, China and finger pointing climate politics",Aarti Betigeri,https://www.lowyinstitute.org/the-interpreter/india-china-and-finger-pointing-climate-politics,Two weeks of negotiations in Glasgow meant that COP26 resulted in a resolution – of sorts. Nations agreed to resume next year with stronger 2030 emissions reduction targets in a global bid to try to alleviate the worst consequences of the climate disaster. It wasn’t the achievement that was
2021-11-23,The Interpreter,Regulating unmanned underwater vehicles in Indonesian waters,Taufik Rachmat Nugraha,https://www.lowyinstitute.org/the-interpreter/regulating-unmanned-underwater-vehicles-indonesian-waters,"According to the Indonesia Ocean Justice Initiative, between 2018 and January 2021, a large number of Chinese vessels “deactivated” their AIS transponders – the automatic identification systems used to track ships at sea – and engaged in illegal marine scientific research while cruising"
2021-11-22,East Asia Forum,Middle power diplomacy essential to secure Asia against big power rivalry,"Editorial Board, ANU",https://www.eastasiaforum.org/2021/11/22/middle-power-diplomacy-essential-to-secure-asia-against-big-power-rivalry/,"There will be no resolution of the big problems of our age without the big powers, notably the United States and China, being willing parties to their settlement. And success will depend critically on the trust that each puts in the other’s stake in the game. Read more…"
2021-11-21,East Asia Forum,What Xi and Biden forgot to mention on the economy,"Tom Westland, ANU",https://www.eastasiaforum.org/2021/11/21/what-xi-and-biden-forgot-to-mention-on-the-economy/,"According to the official readout, in their virtual summit this week, US President Joe Biden and Chinese President Xi Jinping discussed ‘managing competition responsibly’. For Biden, the talks were a chance to press Xi on China’s actions in Hong Kong and its assertive posture in the Taiwan Strait, as well as human rights abuses in Xinjiang. Xi, for his part, warned Biden against leading the United States into a new Cold War against China. Read more…"
2021-11-19,East Asia Forum,"The CPTPP isn’t just a trade deal for Taiwan, it’s a survival plan","Shihoko Goto, Wilson Center",https://www.eastasiaforum.org/2021/11/19/the-cptpp-isnt-just-a-trade-deal-for-taiwan-its-a-survival-plan/,"When Taiwan made its bid to join the CPTPP in September, a week after China officially declared its interest in joining, there was speculation about the implications of the timing. Taipei could not afford to wait to request entry once Beijing got in the game. Yet the CPTPP is at the heart of mapping out Taiwan’s long-term survival, not just a means to remain competitive in global markets."
2021-11-18,East Asia Forum,Balancing accessibility and quality in Blue Dot Network infrastructure finance,"John Taishu Pitt, Georgetown University",https://www.eastasiaforum.org/2021/11/18/balancing-accessibility-and-quality-in-blue-dot-network-infrastructure-finance/,"While the US-led Bretton Woods Institutions have been supporting infrastructure projects since the 1940s, there has been criticism in recent years that the United States has been inadequate in responding to China’s Belt and Road Initiative (BRI). The Biden Administration should utilise the Blue Dot Network (BDN) to incentivise private investments in sustainable infrastructure projects in conjunction with the existing Bretton Woods Institutions."
2021-11-24,Pearls and Irritations,Morrison turns China ‘threat’ into an election wedge,James Curran,https://johnmenadue.com/morrison-turns-china-threat-into-an-election-wedge/,"Borrowing from the Vietnam War-era Coalition playbook, the prime minister is putting domestic politics ahead of long-term policy for dealing with Beijing. "
2021-11-23,Pearls and Irritations,The most remarkable aspect of Western attacks on China over Xinjiang is the unabashed hypocrisy,John Lander,https://johnmenadue.com/most-remarkable-aspect-of-western-attacks-on-china-is-the-unabashed-hypocrisy/,"The US (abetted by the UK and Australia) in the so-called ”War on Terror”, has killed nearly 1 million Muslims in Afghanistan, Iraq, Pakistan, Syria and Yemen. "
2021-11-23,Pearls and Irritations,Yesterday President Xi Jinping discussed South China Sea with ASEAN leaders,Mark J. Valencia,https://johnmenadue.com/yesterday-president-xi-jinping-discussed-south-china-sea-with-asean-leaders/,Will the South China Sea Code of Conduct herald a new order? China will present a united front with ASEAN countries. The US may have other ideas. 
2021-11-22,Pearls and Irritations,Liberals’ fear-mongering won’t be effective: former Australian diplomat,Jocelyn Chey,https://johnmenadue.com/liberals-fear-mongering-wont-be-effective-former-australian-diplomat/,The Australian Department of Foreign Affairs and Trade claims that it “promotes and protects Australia’s international interests to support our security and prosperity.” I believe it has failed in this objective. 
2021-11-22,Pearls and Irritations,Chinese takeaway from the Xi-Biden summit,Jerry Grey,https://johnmenadue.com/chinese-takeaway-from-the-xi-biden-summit/,The summit between Joe Biden and Xi Jinping taught us that Australian experts have misread the US’s relationship with China. 
2021-11-20,Pearls and Irritations,"Wang Huning, the Chinese Communist who understands America",John Menadue,https://johnmenadue.com/john-menaduewang-huning-the-chinese-communist-who-understands-america/,But does anybody in Washington DC understand China like Wang Huning understands America? 
2021-11-18,Pearls and Irritations,The one word that will stop sleepwalking our way to war over Taiwan.,Bob Carr,https://johnmenadue.com/the-one-word-that-will-stop-war-over-taiwan/,Are we sleepwalking our way to war? Australia should be reminding China and the US that it’s vital to avoid conflict over Taiwan. 
2021-11-18,Pearls and Irritations,Is Xi Jinping’s support as strong as his predecessors?,David S G Goodman,https://johnmenadue.com/is-xi-jinpings-support-as-strong-as-his-predecessors/,"Chinese President Xi Jinping is central to the Communist Party, and also part of a historical trajectory that includes Mao Zedong and Deng Xiaoping. "
2021-11-24,The Strategist,Too soon to be waving the White flag on China,Peter Jennings,https://www.aspistrategist.org.au/too-soon-to-be-waving-the-white-flag-on-china/,"In The Australian newspaper on Monday, Hugh White gave us a picture of democratic defeat in the face of overwhelming Chinese dominance should war break out over Taiwan. ‘Going to war with China,’ he says, …"
2021-11-20,The Strategist,Taiwan’s defence is vital for Australian security,Peter Jennings,https://www.aspistrategist.org.au/taiwans-defence-is-vital-for-australian-security/,"As fast as Australia is moving to strengthen alliances and regional partnerships, the pace of strategic change is moving faster. China is building up its military forces at breakneck speed and preparing to strike at …"
2021-11-19,The Strategist,"Beijing’s propagandists flounder as the world asks, ‘Where is Peng Shuai?’",Fergus Ryan,https://www.aspistrategist.org.au/beijings-propagandists-flounder-as-the-world-asks-where-is-peng-shuai/,"As international concern about Chinese tennis player Peng Shuai’s whereabouts grows and more of the world’s top tennis stars weigh in, Beijing’s propagandists are floundering. Hu Xijin, the impish editor of the rabidly nationalistic Global …"
2021-11-18,Asialink Insight,The strategic opportunity of AUKUS,Sumio Kusaka,https://asialink.unimelb.edu.au/insights/the-strategic-opportunity-of-aukus,The AUKUS nuclear submarines deal might have stirred regional controversy. But former Japanese ambassador Sumio Kusaka argues it will drive efforts to strike a strategic balance in the Indo-Pacific by ensuring the US commits to playing a central and a long-term role in regional affairs.
2021-11-17,Asialink Insight,"Xi-Biden meeting is cordial, but will anything change between the superpowers?",Tony Walker,"https://asialink.unimelb.edu.au/insights/xi-biden-meeting-is-cordial,-but-will-anything-change-between-the-superpowers","While it is too soon to talk about a reset in US-China relations, this week's virtual discussions between Joe Biden and Xi Jinping have at least got the relationship back on track after the chaos of the Trump era, writes Tony Walker."
2021-11-18,Palladium,The Second Death of Jiao Yulu,Dylan Levi King,https://palladiummag.com/2021/11/18/the-second-death-of-jiao-yulu/,The party cadre Jiao Yulu embodied a Chinese political culture with room for experiments and risk-taking. Xi’s turn to digital technocracy may threaten its survival.
2021-11-23,Foreign Affairs,Xi’s Confidence Game,Jude Blanchette,https://www.foreignaffairs.com/articles/asia/2021-11-23/xis-confidence-game,"Beijing's actions show determination, not insecurity."
2021-11-19,Foreign Affairs,Why China Wants More and Better Nukes ,Abraham Denmark Caitlin Talmadge,https://www.foreignaffairs.com/articles/china/2021-11-19/why-china-wants-more-and-better-nukes,"China is expanding its nuclear arsenal, a move that might lead China to take more risks with its conventional forces. "
2021-11-23,Monkey Cage,Russia proved it can shoot down a satellite. Does this make space less secure? ,James J. Cameron,https://www.washingtonpost.com/politics/2021/11/23/russia-proved-it-can-shoot-down-satellite-does-this-make-space-less-secure/,"The U.S., China and India have also tested anti-satellite weapons."
2021-11-18,The Economist,Chinese officials help to cultivate a local graffiti scene,,https://www.economist.com/china/2021/11/18/chinese-officials-help-to-cultivate-a-local-graffiti-scene,"Street art has a devoted following, but is not as edgy as graffiti in Western cities"
2021-11-18,The Economist,"To prevent floods, China is building “sponge cities”",,https://www.economist.com/china/2021/11/18/to-prevent-floods-china-is-building-sponge-cities,"After decades of ill-planned growth, urban areas are being retrofitted to prevent disasters"
2021-11-24,Sixth Tone,China's Skilling Machine: How Trade Schools Are Stepping Up,Zhang Jin,http://www.sixthtone.com/news/1009042/chinas-skilling-machine-how-trade-schools-are-stepping-up,"Despite a surge in demand, factory jobs have few takers. Vocational colleges offering new skills may......"
2021-11-24,Sixth Tone,They Needed Medication. They Got a Visit From the Drug Squad.,Ni Dandan,http://www.sixthtone.com/news/1008993/they-needed-medication.-they-got-a-visit-from-the-drug-squad.,"For years, Chinese adults with ADHD have struggled to access vital medication. Now, they’re also bei......"
2021-11-22,Sixth Tone,How a Chinese Olympian Struggled to Get Back to the Top,Figure Video,http://www.sixthtone.com/news/1008940/how-a-chinese-olympian-struggled-to-get-back-to-the-top,"In Rio de Janeiro, diver Chen Aisen did what nobody had done before. Could he, in Tokyo, do it again?"
2021-11-22,Sixth Tone,Is There a Future for the ‘Chinese School of Animation’?,Liu Qing,http://www.sixthtone.com/news/1008976/is-there-a-future-for-the-chinese-school-of-animation%3F,"Chinese animation is often hailed for its integration of traditional aesthetic and themes, but is th......"
2021-11-20,Sixth Tone,They Swapped Lives for a Month. Did Anything Change?,Ming Que,http://www.sixthtone.com/news/1009019/they-swapped-lives-for-a-month.-did-anything-change%3F,"Until it was canceled, “X-Change” let rural and urban students switch lives for a month. China watch......"
2021-11-20,Sixth Tone,How Video Games Fueled the Rise of Chinese Fantasy,Kong Degang,http://www.sixthtone.com/news/1008975/how-video-games-fueled-the-rise-of-chinese-fantasy,"Thirty years ago, the martial arts epic was the country’s most popular genre. Today, fantasy dominat......"
2021-11-19,Sixth Tone,"Through the Glass Ceiling, and Beyond",Ye Ruolin,http://www.sixthtone.com/news/1009010/through-the-glass-ceiling%2C-and-beyond,"When astronomer Ye Shuhua fought for a men-only job in 1951, it turned out to be the first of many b......"
2021-11-18,Sixth Tone,"China at COP26: Coal, Methane, and 1.5 Degrees Celsius",China Dialogue,http://www.sixthtone.com/news/1008998/china-at-cop26-coal%2C-methane%2C-and-1.5-degrees-celsius,China’s commitments and reservations at the climate talks in Glasgow reflect the unique challenges a......
2021-11-18,Sixth Tone,Chinese Vocational Schools Have a Discipline Problem,Wang Zijin,http://www.sixthtone.com/news/1008973/chinese-vocational-schools-have-a-discipline-problem,"Struggling to teach useful job skills, many of the country’s vocational high schools instead focus o......"
2021-11-23,Quartz,Beijing’s messaging on #WhereIsPengShuai mixes creepiness and cutesy,Mary Hui,https://qz.com/2092920/beijings-messaging-on-peng-shuai-mixes-creepy-and-cutesy/,
2021-11-23,Quartz,Rare earths: Scarcity at your fingertips,Quartz Staff,https://qz.com/2062525/how-china-keeps-a-grip-on-the-rare-earth-metal-industry/,
2021-11-22,Quartz,China’s common prosperity drive is taking aim at wealthy internet influencers,Jane Li,https://qz.com/2092854/chinas-common-prosperity-drive-takes-aim-at-online-influencers/,
2021-11-19,Quartz,Wuhan’s seafood market may have been the origin of the covid-19 pandemic after all,Samanth Subramanian,https://qz.com/2092216/a-new-study-argues-that-covid-19-began-in-wuhans-seafood-market/,
2021-11-19,Quartz,China’s first ever Formula 1 driver aims to get the Chinese hooked on the elite motor sport,Anne Quito,https://qz.com/2091415/guanyu-zhou-is-the-first-chinese-driver-in-formula-1/,
2021-11-19,Quartz,A weird email from Chinese state TV stirred more questions about a missing tennis player’s safety,Jane Li,https://qz.com/2092051/cgtns-tweet-stirs-more-questions-about-peng-shuais-safety/,
2021-11-19,Quartz,Four charts that show why China fought hard for coal at COP26 ,Aurora Almendral,https://qz.com/2091485/cop26-negotiations-show-chinas-dependence-on-coal/,
2021-11-23,China Digital Times,Interview: Emeka Umejei on the “Unequal Equal” Relationship Between Chinese and African Media,Oliver Young,https://chinadigitaltimes.net/2021/11/interview-emeka-umejei-on-the-unequal-equal-relationship-between-chinese-and-african-media/,Xi Jinping’s call in 2013 to “tell China’s story well” accelerated an existing trend of Chinese media fanning out across the globe to strengthen the country’s external propaganda and international discourse power. Media outlets...
2021-11-22,China Digital Times,Sinopsis: Hijacking The Mainstream—CCP Influence Agencies in Italian Parliamentary and Local Politics,Samuel Wade,https://chinadigitaltimes.net/2021/11/sinopsis-hijacking-the-mainstream-ccp-influence-agencies-in-italian-parliamentary-and-local-politics/,"The following article is reposted from Project Sinopsis, with permission: Hijacking the mainstream: CCP influence agencies and their operations in Italian parliamentary and local politics Summary of findings and recommendations..."
2021-11-22,China Digital Times,Lockdown Voices: Chinese Doctors Urge More Humane Covid Policies,Oliver Young,https://chinadigitaltimes.net/2021/11/lockdown-voices-chinese-doctors-urge-more-humane-covid-policies/,"In recent weeks, a number of prominent Chinese epidemiologists have cautioned against “quarantine overreach,” pointing out the human toll of a continuing “zero-Covid” policy and reigniting a debate over the best policy for China..."
2021-11-19,China Digital Times,#WhereIsPengShuai: The World Wants To Know,Joseph Brouwer,https://chinadigitaltimes.net/2021/11/whereispengshuai-the-world-wants-to-know/,"A campaign initiated by Chinese feminists to locate the disappeared tennis star Peng Shuai has gone global. Many of the world’s biggest tennis stars—including Serena Williams, Naomi Osaka, and Andy Murray—have posted messages on..."
2021-11-19,China Digital Times,Lockdown Voices: Ruili and Yili Speak,Joseph Brouwer,https://chinadigitaltimes.net/2021/11/lockdown-voices-ruili-and-yili-speak/,"China’s “zero-COVID” policy has saved untold lives, but the brunt of its costs have been borne by a small few: in particular, the residents of the border towns of Ruili and Yili. Located along Yunnan’s border with Myanmar and..."
